15329,	0.9,	-34.7,	1055.5
15420,	1.0,	-32.7,	1054.3
15512,	2.3,	-34.3,	1053.2
15604,	1.4,	-33.2,	1055.5
15696,	1.1,	-33.9,	1055.5
15789,	2.5,	-33.7,	1055.5
15881,	2.2,	-35.0,	1054.3
15973,	1.4,	-33.5,	1054.3
16074,	2.3,	-33.9,	1054.3
16166,	2.1,	-34.5,	1055.5
16259,	2.2,	-34.0,	1055.5
16351,	2.8,	-34.9,	1054.3
16443,	2.5,	-33.7,	1054.3
16535,	1.9,	-33.7,	1054.3
16627,	2.7,	-34.1,	1055.5
16719,	2.6,	-33.9,	1054.3
16811,	3.2,	-32.4,	1055.5
16903,	2.0,	-34.5,	1055.5
16995,	2.6,	-33.8,	1055.5
17087,	3.0,	-32.7,	1054.3
17189,	3.2,	-32.5,	1054.3
17282,	3.0,	-33.8,	1055.5
17373,	3.1,	-33.1,	1055.5
17465,	2.6,	-33.5,	1054.3
17557,	3.0,	-33.0,	1054.3
17649,	3.6,	-32.5,	1054.3
17741,	2.3,	-34.1,	1054.3
17833,	2.9,	-32.1,	1054.3
17926,	3.6,	-32.3,	1054.3
18018,	2.6,	-32.6,	1054.3
18110,	2.9,	-32.2,	1054.3
18201,	2.5,	-32.9,	1055.5
18304,	3.0,	-31.6,	1054.3
18396,	3.1,	-30.9,	1055.5
18488,	3.7,	-32.0,	1055.5
18580,	3.1,	-33.0,	1055.5
18672,	2.9,	-32.4,	1054.3
18763,	3.7,	-31.3,	1055.5
18855,	4.0,	-31.5,	1055.5
18948,	3.4,	-32.3,	1054.3
19040,	2.9,	-31.9,	1054.3
19132,	3.4,	-32.7,	1054.3
19224,	3.7,	-32.7,	1054.3
19316,	3.0,	-31.5,	1056.6
19418,	3.3,	-32.9,	1053.2
19510,	3.8,	-31.2,	1055.5
19602,	3.0,	-32.3,	1054.3
19694,	3.8,	-32.1,	1054.3
19786,	3.7,	-33.5,	1055.5
19878,	3.4,	-30.7,	1054.3
19971,	4.1,	-31.3,	1055.5
20063,	4.3,	-33.1,	1055.5
20154,	3.3,	-33.2,	1055.5
20246,	4.3,	-32.1,	1054.3
20338,	4.0,	-33.5,	1055.5
20430,	4.6,	-32.2,	1054.3
20533,	4.7,	-33.2,	1056.6
20625,	4.6,	-32.1,	1054.3
20717,	3.8,	-32.5,	1055.5
20808,	4.4,	-33.0,	1055.5
20900,	4.9,	-33.5,	1055.5
20993,	4.7,	-32.0,	1054.3
21085,	4.0,	-33.8,	1056.6
21177,	4.3,	-33.9,	1055.5
21269,	5.1,	-32.8,	1054.3
21361,	4.0,	-33.2,	1054.3
21452,	4.5,	-33.5,	1054.3
21544,	5.3,	-33.9,	1054.3
21647,	5.3,	-33.3,	1054.3
21739,	4.5,	-34.0,	1054.3
21831,	5.4,	-33.5,	1054.3
21923,	4.5,	-34.5,	1056.6
22016,	5.2,	-33.0,	1055.5
22107,	5.4,	-33.6,	1054.3
22199,	4.8,	-34.0,	1054.3
22291,	4.9,	-34.5,	1054.3
22383,	6.0,	-34.3,	1055.5
22475,	5.8,	-34.0,	1054.3
22567,	5.3,	-34.0,	1053.2
22660,	4.6,	-34.9,	1056.6
22761,	5.1,	-35.1,	1054.3
22853,	4.9,	-33.5,	1054.3
22945,	5.0,	-44.6,	1054.3
23037,	3.7,	-53.2,	1055.5
23130,	4.7,	-35.4,	1054.3
23222,	4.7,	-38.1,	1054.3
23314,	6.0,	-34.3,	1054.3
23405,	5.9,	-36.8,	1054.3
23497,	5.5,	-32.8,	1054.3
23589,	6.4,	-39.4,	1054.3
23682,	5.9,	-38.1,	1054.3
23774,	5.6,	-39.5,	1054.3
23876,	6.6,	-38.1,	1055.5
23968,	6.5,	-39.2,	1054.3
24059,	5.7,	-38.6,	1055.5
24152,	6.7,	-36.4,	1054.3
24244,	6.5,	-39.0,	1055.5
24336,	5.8,	-39.2,	1055.5
24428,	6.2,	-39.5,	1055.5
24520,	7.1,	-39.0,	1054.3
24612,	6.0,	-37.6,	1056.6
24704,	6.2,	-38.5,	1054.3
24796,	6.8,	-39.2,	1055.5
24888,	7.2,	-37.6,	1054.3
24990,	7.2,	-39.0,	1054.3
25082,	7.4,	-38.9,	1055.5
25175,	6.3,	-39.4,	1055.5
25267,	7.4,	-38.7,	1055.5
25358,	6.9,	-40.4,	1055.5
25450,	7.9,	-41.2,	1054.3
