[0,	1.65,	1.65],
[1,	1.57,	1.57],
[2,	1.54,	1.54],
[3,	1.51,	1.51],
[8,	1.49,	1.49],
[26,	1.47,	1.47],
[47,	1.45,	1.45],
[66,	1.42,	1.42],
[86,	1.40,	1.40],
[105,	1.38,	1.38],
[126,	1.36,	1.36],
[147,	1.34,	1.34],
[167,	1.32,	1.32],
[189,	1.29,	1.29],
[209,	1.27,	1.27],
[230,	1.25,	1.25],
[251,	1.24,	1.24],
[272,	1.22,	1.22],
[292,	1.20,	1.20],
[314,	1.18,	1.18],
[334,	1.16,	1.16],
[355,	1.14,	1.14],
[376,	1.12,	1.12],
[397,	1.11,	1.11],
[417,	1.09,	1.09],
[438,	1.07,	1.07],
[459,	1.06,	1.06],
[480,	1.04,	1.04],
[500,	1.03,	1.03],
[522,	1.01,	1.01],
[542,	1.00,	1.00],
[563,	0.99,	0.99],
[584,	0.97,	0.97],
[605,	0.95,	0.95],
[625,	0.94,	0.94],
[647,	0.93,	0.93],
[667,	0.91,	0.91],
[688,	0.90,	0.90],
[709,	0.89,	0.89],
[730,	0.88,	0.88],
[750,	0.86,	0.86],
[771,	0.85,	0.85],
[792,	0.84,	0.84],
[813,	0.83,	0.83],
[833,	0.83,	0.83],
[855,	0.82,	0.82],
[875,	0.81,	0.81],
[896,	0.80,	0.80],
[917,	0.79,	0.79],
[937,	0.78,	0.78],
[958,	0.77,	0.77],
[979,	0.76,	0.76],
[1000,	0.76,	0.76],
[1021,	0.75,	0.75],
[1044,	0.74,	0.74],
[1065,	0.73,	0.73],
[1087,	0.73,	0.73],
[1110,	0.72,	0.72],
[1131,	0.71,	0.71],
[1153,	0.70,	0.70],
[1175,	0.70,	0.70],
[1197,	0.69,	0.69],
[1218,	0.69,	0.69],
[1240,	0.68,	0.68],
[1262,	0.68,	0.68],
[1284,	0.67,	0.67],
[1305,	0.67,	0.67],
[1328,	0.65,	0.65],
[1349,	0.65,	0.65],
[1371,	0.65,	0.65],
[1393,	0.65,	0.65],
[1415,	0.64,	0.64],
[1436,	0.64,	0.64],
[1459,	0.63,	0.63],
[1480,	0.63,	0.63],
[1502,	0.63,	0.63],
[1524,	0.63,	0.63],
[1546,	0.62,	0.62],
[1567,	0.62,	0.62],
[1590,	0.61,	0.61],
[1611,	0.61,	0.61],
[1633,	0.61,	0.61],
[1655,	0.60,	0.60],
[1677,	0.61,	0.61],
[1698,	0.60,	0.60],
[1721,	0.60,	0.60],
[1742,	0.60,	0.60],
[1764,	0.59,	0.59],
[1786,	0.59,	0.59],
[1808,	0.59,	0.59],
[1829,	0.59,	0.59],
[1852,	0.58,	0.58],
[1873,	0.58,	0.58],
[1895,	0.58,	0.58],
[1917,	0.58,	0.58],
[1939,	0.58,	0.58],
[1960,	0.58,	0.58],
[1983,	0.57,	0.57],
[2004,	0.57,	0.57],
[2026,	0.55,	0.55],
[2049,	0.55,	0.55],
[2070,	0.54,	0.54],
[2092,	0.54,	0.54],
[2114,	0.54,	0.54],
[2136,	0.53,	0.53],
[2157,	0.53,	0.53],
[2180,	0.53,	0.53],
[2201,	0.53,	0.53],
[2223,	0.52,	0.52],
[2245,	0.52,	0.52],
[2267,	0.53,	0.53],
[2288,	0.52,	0.52],
[2311,	0.52,	0.52],
[2332,	0.52,	0.52],
[2354,	0.52,	0.52],
[2376,	0.52,	0.52],
[2398,	0.52,	0.52],
[2419,	0.52,	0.52],
[2442,	0.52,	0.52],
