1611,	0.1,	0.1,	299.8
1703,	-0.2,	-0.1,	299.8
1796,	0.1,	0.6,	299.8
1887,	-0.2,	0.1,	299.8
1979,	0.2,	-0.7,	299.8
2071,	-0.2,	-0.0,	299.8
2162,	0.0,	0.2,	299.8
2254,	0.1,	0.1,	299.8
2347,	0.2,	0.3,	299.8
2439,	0.0,	0.0,	298.7
2530,	0.1,	0.1,	299.8
2622,	-0.4,	-0.0,	299.8
2723,	-0.0,	0.2,	299.8
2816,	0.1,	1.0,	299.8
2908,	0.2,	-0.0,	299.8
2999,	0.1,	-0.1,	299.8
3091,	0.3,	-0.4,	299.8
3183,	0.4,	1.7,	299.8
3275,	0.3,	-0.1,	299.8
3366,	0.1,	0.7,	299.8
3459,	-0.2,	-0.0,	299.8
3551,	0.3,	0.0,	301.0
3643,	-0.1,	-0.0,	299.8
3734,	0.2,	1.3,	299.8
3835,	-0.2,	-0.5,	299.8
3928,	-0.1,	-0.1,	298.7
4019,	0.0,	0.7,	298.7
4111,	0.0,	-0.8,	298.7
4203,	0.2,	0.4,	298.7
4295,	-0.0,	-0.4,	298.7
4386,	-0.2,	-0.3,	298.7
4478,	0.0,	-0.3,	298.7
4571,	0.2,	0.3,	299.8
4662,	-0.0,	0.0,	299.8
4754,	0.0,	0.6,	298.7
4846,	-0.1,	-1.1,	298.7
4947,	-0.1,	0.5,	299.8
5040,	0.0,	1.3,	298.7
5132,	0.2,	0.5,	298.7
5223,	0.1,	-0.2,	298.7
5315,	0.0,	0.1,	298.7
5407,	0.1,	0.4,	298.7
5498,	0.0,	-0.2,	299.8
5591,	-0.2,	-0.1,	297.5
5683,	0.2,	-0.5,	298.7
5775,	-0.0,	1.1,	298.7
5866,	0.3,	-0.9,	297.5
5958,	-0.1,	-0.2,	298.7
6060,	-0.1,	0.3,	298.7
6152,	-0.2,	1.2,	298.7
6244,	0.2,	-2.4,	297.5
6336,	-0.2,	0.7,	298.7
6427,	-0.3,	1.0,	298.7
6519,	0.5,	-0.3,	298.7
6611,	-0.1,	-0.2,	298.7
6703,	-0.1,	-0.4,	298.7
6795,	-0.1,	0.3,	298.7
6887,	0.1,	1.8,	298.7
6979,	0.4,	0.8,	298.7
7070,	0.1,	0.5,	299.8
7172,	-0.0,	1.2,	299.8
7264,	0.0,	-0.3,	299.8
7356,	0.0,	0.1,	299.8
7447,	-0.0,	-0.2,	299.8
7539,	-0.0,	0.8,	299.8
7631,	-0.0,	-0.7,	299.8
7723,	-0.0,	1.1,	299.8
7815,	0.2,	-0.1,	299.8
7907,	0.1,	0.4,	250.1
7999,	-0.4,	6.1,	279.0
8090,	-3.4,	-6.7,	207.2
8182,	4.1,	-4.5,	226.9
8284,	-0.1,	0.4,	210.7
8376,	-7.0,	-7.9,	199.1
8468,	8.0,	8.6,	188.7
8559,	-0.2,	-4.7,	199.1
8651,	-7.1,	-17.1,	181.8
