9
14601,	14.8,	-29.6,	1050.9
14693,	13.0,	-31.0,	1049.7
14785,	18.0,	-31.4,	1053.2
14877,	16.6,	-30.0,	1050.9
14969,	14.9,	-30.4,	1032.3
15072,	15.7,	-31.6,	1049.7
15164,	15.9,	-30.7,	1052.0
15256,	19.9,	-31.7,	1050.9
15348,	18.1,	-31.6,	1052.0
15440,	17.7,	-32.0,	1050.9
15533,	15.2,	-32.7,	1049.7
15625,	19.5,	-33.5,	1053.2
15716,	19.1,	-33.3,	1050.9
15808,	18.7,	-32.2,	1017.3
15900,	20.7,	-33.5,	1050.9
15992,	19.2,	-33.3,	1052.0
16084,	17.2,	-32.5,	1049.7
16187,	21.0,	-34.3,	1052.0
16279,	20.7,	-32.5,	1052.0
16371,	18.1,	-33.7,	1050.9
16463,	21.3,	-34.1,	1053.2
16556,	20.8,	-35.3,	1050.9
16648,	18.0,	-34.0,	1050.9
16740,	20.1,	-34.9,	1050.9
16832,	21.4,	-35.1,	1018.5
16923,	24.5,	-34.1,	1050.9
17015,	19.5,	-35.7,	1049.7
17107,	23.7,	-35.6,	1050.9
17200,	23.7,	-35.1,	1050.9
17302,	24.9,	-37.4,	1049.7
17394,	23.2,	-36.3,	1052.0
17486,	20.5,	-36.0,	1052.0
17579,	20.8,	-38.0,	1050.9
17671,	23.2,	-36.8,	981.4
17763,	25.5,	-36.9,	1053.2
17855,	19.9,	-39.5,	1052.0
17947,	23.4,	-38.2,	1049.7
18039,	28.6,	-38.2,	1053.2
18130,	22.4,	-38.1,	988.4
18223,	24.4,	-38.9,	1052.0
18315,	28.1,	-39.2,	1052.0
18417,	23.4,	-38.7,	1050.9
18509,	25.1,	-39.3,	1050.9
18601,	27.1,	-39.0,	1039.3
18694,	23.5,	-39.6,	1027.7
18786,	27.1,	-39.0,	1049.7
18878,	28.5,	-38.9,	1050.9
18970,	26.0,	-39.5,	1052.0
19062,	25.9,	-40.7,	1038.1
19154,	25.9,	-41.1,	993.0
19246,	29.5,	-40.1,	1050.9
19338,	26.8,	-41.6,	1050.9
19430,	24.7,	-42.0,	1050.9
19532,	27.1,	-42.7,	956.0
19624,	28.7,	-42.6,	1053.2
19717,	30.7,	-42.2,	1052.0
19809,	29.9,	-42.0,	1050.9
19901,	28.3,	-44.1,	1053.2
19993,	28.8,	-43.5,	957.1
20085,	33.7,	-44.4,	1052.0
20177,	29.2,	-43.2,	1053.2
20270,	29.4,	-44.1,	1052.0
20361,	32.9,	-43.6,	1050.9
20453,	29.9,	-45.4,	966.4
20545,	31.6,	-43.2,	1050.9
20647,	33.8,	-44.1,	1050.9
20740,	31.2,	-44.8,	1052.0
20832,	31.1,	-44.8,	1031.2
20924,	33.4,	-45.3,	1045.1
21016,	33.4,	-45.3,	1004.6
21108,	30.7,	-45.4,	1049.7
21200,	35.8,	-46.1,	1054.3
21293,	34.6,	-46.8,	1050.9
21385,	33.2,	-46.6,	1017.3
21477,	33.5,	-47.6,	976.8
21568,	35.1,	-47.5,	1052.0
21660,	33.9,	-47.5,	1052.0
21763,	35.8,	-46.5,	1053.2
21855,	35.7,	-47.5,	936.3
21947,	34.7,	-47.4,	1050.9
22039,	33.3,	-47.6,	1052.0
22131,	37.4,	-47.4,	1052.0
22223,	34.7,	-48.9,	1001.1
22316,	33.2,	-49.1,	932.8
